Yaw,PosX,PosY,VelocityNorm,AngularVelocityZ,Time,angular_acceleration
-128.306845219542,78.9565583779461,-74.7211791848811,5,10.2232361116466,28.71,9.063920313669982
-128.20415966241,78.9255998620831,-74.7604420124206,5,10.3138753147833,28.72,9.063920313669982
-128.100567713246,78.8947120738552,-74.7997605049827,5,10.4045145179201,28.73,9.063920313680107
-127.996069372051,78.8638957362338,-74.8391350226637,5,10.4951537210569,28.74,9.06392031367993
-127.890664638825,78.8331515746135,-74.8785659219837,5,10.5857929241936,28.75,9.063920313669982
-127.784353513568,78.8024803168223,-74.9180535558487,5,10.6764321273303,28.76,9.063920313669982
-127.677135996279,78.7718826931322,-74.957598273511,5,10.7670713304671,28.77,9.063920313680107
-127.569012086958,78.7413594362684,-74.9972004205298,5,10.8577105336038,28.78,9.063920313669982
-127.459981785607,78.7109112814188,-75.0368603387326,5,10.9483497367405,28.79,9.063920313669982
-127.350045092223,78.6805389662437,-75.0765783661747,5,11.0389889398773,28.8,9.06392031367993
-127.239202006809,78.6502432308839,-75.1163548371004,5,11.1296281430141,28.81,9.063920313680107
-127.127452529363,78.6200248179696,-75.1561900819024,5,11.2202673461508,28.82,9.063920313669982
-127.014796659886,78.5898844726287,-75.196084427082,5,11.3109065492875,28.83,9.063920313669982
-126.901234398377,78.5598229424942,-75.2360381952089,5,11.4015457524242,28.84,9.063920313669982
-126.786765744837,78.5298409777124,-75.276051704881,5,11.492184955561,28.85,9.06392031367993
-126.671390699266,78.4999393309494,-75.316125270683,5,11.5828241586977,28.86,9.06392031367016
-126.555109261663,78.4701187573985,-75.3562592031467,5,11.6734633618345,28.87,9.06392031367993
-126.437921432029,78.4403800147865,-75.3964538087093,5,11.7641025649712,28.88,9.063920313669982
-126.319827210364,78.4107238633799,-75.4367093896726,5,11.8547417681079,28.89,9.063920313669982
-126.200826596667,78.3811510659909,-75.4770262441617,5,11.9453809712447,28.9,9.063920313680107
-126.080919590939,78.3516623879826,-75.5174046660834,5,12.0360201743814,28.91,9.063920313669982
-125.96010619318,78.3222585972745,-75.5578449450849,5,12.1266593775181,28.92,9.063920313669982
-125.838386403389,78.2929404643471,-75.5983473665114,5,12.2172985806549,28.93,9.06392031367993
-125.715760221567,78.2637087622461,-75.6389122113649,5,12.3079377837916,28.94,9.063920313669982
-125.592227647713,78.234564266587,-75.6795397562615,5,12.3985769869283,28.95,9.063920313669982
-125.467788681828,78.2055077555583,-75.7202302733893,5,12.4892161900651,28.96,9.063920313680107
-125.342443323912,78.1765400099252,-75.7609840304658,5,12.5798553932018,28.97,9.063920313669982
-125.216191573964,78.1476618130321,-75.8018012906955,5,12.6704945963385,28.98,9.063920313669982
-125.089033431985,78.1188739508057,-75.8426823127266,5,12.7611337994753,28.99,9.06392031367993
-124.960968897974,78.0901772117569,-75.8836273506085,5,12.8517730026121,29.0,9.063920313680107
-124.831997971933,78.0615723869824,-75.9246366537485,5,12.9424122057488,29.01,9.063920313669982
-124.702120653859,78.0330602701666,-75.9657104668682,5,13.0330514088855,29.02,9.063920313669982
-124.571336943755,78.0046416575823,-76.0068490299606,5,13.1236906120222,29.03,9.063920313669982
-124.439646841619,77.9763173480913,-76.0480525782457,5,13.214329815159,29.04,9.06392031367993
-124.307050347452,77.9480881431447,-76.0893213421272,5,13.3049690182957,29.05,9.06392031367016
-124.173547461253,77.9199548467828,-76.1306555471483,5,13.3956082214325,29.06,9.06392031367993
-124.039138183023,77.8919182656344,-76.1720554139478,5,13.4862474245692,29.07,9.063920313669982
-123.903822512762,77.8639792089158,-76.2135211582153,5,13.576886627706,29.08,9.06392031367993
-123.767600450469,77.8361384884293,-76.2550529906474,5,13.6675258308427,29.09,9.06392031367016
-123.630471996145,77.8083969185615,-76.2966511169023,5,13.7581650339794,29.1,9.063920313669982
-123.492437149789,77.780755316281,-76.3383157375556,5,13.8488042371161,29.11,9.063920313669982
-123.353495911403,77.7532145011357,-76.3800470480553,5,13.9394434402529,29.12,9.06392031367993
-123.213648280984,77.7257752952494,-76.4218452386762,5,14.0300826433896,29.13,9.063920313669982
-123.072894258535,77.6984385233188,-76.4637104944753,5,14.1207218465264,29.14,9.063920313680107
-122.931233844054,77.6712050126089,-76.5056429952459,5,14.2113610496631,29.15,9.063920313669982
-122.788667037542,77.6440755929488,-76.5476429154723,5,14.3020002527998,29.16,9.063920313669982
-122.645193838998,77.617051096727,-76.589710424284,5,14.3926394559366,29.17,9.06392031367993
-122.500814248423,77.5901323588857,-76.6318456854097,5,14.4832786590733,29.18,9.063920313669982
-122.355528265816,77.563320216915,-76.6740488571316,5,14.57391786221,29.19,9.063920313669982
-122.209335891179,77.5366155108471,-76.7163200922389,5,14.6645570653468,29.2,9.063920313680107
-122.062237124509,77.5100190832488,-76.7586595379819,5,14.7551962684835,29.21,9.063920313669982
-121.914231965809,77.4835317792152,-76.8010673360249,5,14.8458354716202,29.22,9.063920313669982
-121.765320415077,77.457154446361,-76.8435436224004,5,14.936474674757,29.23,9.06392031367993
-121.615502472314,77.4308879348134,-76.8860885274619,5,15.0271138778937,29.24,9.06392031367016
-121.464778137519,77.4047330972025,-76.928702175837,5,15.1177530810305,29.25,9.06392031367993
-121.313147410693,77.3786907886531,-76.9713846863805,5,15.2083922841672,29.26,9.063920313669982
-121.160610291836,77.3527618667741,-77.0141361721277,5,15.299031487304,29.27,9.06392031367993
-121.007166780947,77.3269471916494,-77.0569567402463,5,15.3896706904407,29.28,9.06392031367016
-120.852816878027,77.3012476258265,-77.0998464919896,5,15.4803098935774,29.29,9.063920313669982
-120.697560583076,77.2756640343059,-77.1428055226489,5,15.5709490967142,29.3,9.06392031367993
-120.541397896093,77.2501972845293,-77.1858339215057,5,15.6615882998509,29.31,9.063920313669982
-120.384328817079,77.2248482463674,-77.2289317717841,5,15.7522275029876,29.32,9.063920313669982
